team,rating,talent_prior,form,talent,sp_rating,sp_offense.rating,sp_defense.rating,ret_totalPPA,ret_percentPPA,conference,division,rank
Tulane,0.85,-0.52,6.87,665.11,-4.3,22.8,27.7,72.5,0.21,American Athletic,fbs,60
UNLV,0.85,1.3,5.05,696.03,3.6,31.4,28.0,66.1,0.154,Mountain West,fbs,60
TCU,0.82,3.35,2.97,730.79,9.4,31.4,21.8,94.3,0.224,Big 12,fbs,62
Houston,0.77,1.29,4.97,695.93,7.4,30.9,23.1,242.7,0.812,Big 12,fbs,63
San Diego State,0.58,-3.81,9.89,609.22,0.7,24.1,24.0,182.6,0.987,Mountain West,fbs,64
Washington State,0.55,-2.57,8.62,630.29,-4.3,20.4,24.6,228.3,0.913,Pac-12,fbs,65
New Mexico,0.36,-6.23,12.08,568.19,0.0,25.6,26.1,174.1,0.582,Mountain West,fbs,66
NC State,0.29,4.9,0.89,757.14,5.7,31.0,24.9,233.7,0.599,ACC,fbs,67
Toledo,0.12,-6.93,12.54,556.26,-9.1,17.9,26.6,224.9,0.663,Mid-American,fbs,68
Wisconsin,-0.1,5.52,-0.12,767.68,3.8,21.6,17.5,29.8,0.31,Big Ten,fbs,69
UCLA,-0.17,5.92,-0.59,774.45,5.4,29.1,23.7,108.3,0.57,Big Ten,fbs,70
Maryland,-0.32,2.69,2.49,719.64,5.2,26.8,22.0,112.3,0.54,Big Ten,fbs,71
Michigan State,-0.38,0.65,4.46,685.02,2.2,27.7,25.1,52.9,0.209,Big Ten,fbs,72
Louisiana Tech,-0.43,-7.71,12.77,543.02,-9.1,21.9,31.0,138.6,0.639,Conference USA,fbs,73
Cincinnati,-0.59,-2.34,7.24,634.28,3.0,28.9,26.1,34.8,0.083,Big 12,fbs,74
Baylor,-0.61,2.9,1.98,723.28,3.8,31.9,28.8,212.6,0.602,Big 12,fbs,75
East Carolina,-0.86,-2.95,7.59,623.79,-2.3,24.1,26.3,50.6,0.136,American Athletic,fbs,76
Syracuse,-1.48,4.22,-0.2,745.61,-1.9,23.3,25.6,80.1,0.35,ACC,fbs,77
Florida International,-1.9,-3.91,7.5,607.56,-14.5,21.1,35.3,75.2,0.316,Conference USA,fbs,78
Jacksonville State,-2.02,-4.19,7.67,602.83,-7.8,24.8,32.0,133.7,0.495,Conference USA,fbs,79
Western Michigan,-2.07,-5.99,9.42,572.2,-6.0,19.6,25.2,155.5,0.997,Mid-American,fbs,80
North Carolina,-2.4,5.53,-2.44,767.89,3.5,24.3,21.2,46.9,0.278,ACC,fbs,81
Army,-2.82,-20.0,22.68,303.83,-2.4,24.8,27.2,168.5,0.802,American Athletic,fbs,82
App State,-3.24,-3.08,5.33,621.61,-12.7,20.8,33.9,107.7,0.379,Sun Belt,fbs,83
Louisiana,-3.68,-4.89,6.71,590.94,-10.6,24.4,34.6,189.3,0.919,Sun Belt,fbs,84
Temple,-3.73,-2.53,4.29,631.07,-9.1,25.0,34.4,96.1,0.37,American Athletic,fbs,85
Colorado,-4.0,3.4,-1.9,731.62,0.7,26.1,25.0,26.4,0.137,Big 12,fbs,86
Liberty,-4.24,-2.39,3.65,633.35,-5.3,26.0,31.1,86.9,0.383,Conference USA,fbs,87
Navy,-4.49,-20.0,21.0,195.68,1.2,27.8,26.8,46.7,0.138,American Athletic,fbs,88
Georgia Southern,-4.76,-2.34,3.08,634.19,-10.8,22.7,33.5,19.4,0.058,Sun Belt,fbs,89
Utah State,-5.45,-7.65,7.7,543.98,-7.9,23.4,30.8,215.0,0.652,Mountain West,fbs,90
South Alabama,-5.78,-5.92,5.63,573.38,-14.6,22.0,35.9,180.8,0.786,Sun Belt,fbs,91
Montana State,-6.12,0.0,20.97,,,,,,,Big Sky,fcs,92
Purdue,-6.21,1.43,-2.15,698.33,-2.2,24.2,27.0,111.7,0.475,Big Ten,fbs,93
Air Force,-6.22,-20.0,19.28,272.35,-3.2,24.8,28.1,185.9,0.574,Mountain West,fbs,94
Nevada,-6.49,-7.3,6.31,549.99,-11.7,17.6,29.7,32.3,0.355,Mountain West,fbs,95
Texas State,-6.65,-2.89,1.74,624.81,-2.1,33.2,35.4,306.4,0.76,Sun Belt,fbs,96
West Virginia,-6.9,1.98,-3.39,707.6,-1.3,25.3,26.6,21.1,0.14,Big 12,fbs,97
North Dakota State,-6.94,0.0,20.16,515.59,-1.8,24.1,25.9,,,MVFC,fcs,98
Fresno State,-6.95,-3.78,2.33,609.75,-1.4,21.0,22.4,104.6,0.383,Mountain West,fbs,99
California,-7.1,4.59,-6.19,751.92,3.0,28.8,25.5,188.8,0.583,ACC,fbs,100
Boston College,-7.55,-0.82,-1.24,660.0,-2.5,24.7,27.7,45.8,0.156,ACC,fbs,101
Arkansas State,-7.64,-3.99,1.84,606.22,-11.6,22.1,33.8,73.9,0.3,Sun Belt,fbs,102
Stanford,-8.02,1.88,-4.4,705.81,-2.3,22.5,24.2,47.9,0.213,ACC,fbs,103
Troy,-8.04,-4.58,2.04,596.19,-8.0,22.5,30.7,75.1,0.353,Sun Belt,fbs,104
Delaware,-8.14,-11.22,8.57,483.48,-12.9,22.8,35.4,299.8,0.849,Conference USA,fbs,105
Western Kentucky,-8.56,-3.68,0.61,611.52,-7.3,24.2,32.0,312.2,0.837,Conference USA,fbs,106
New Mexico State,-8.87,-12.58,9.21,460.38,-18.5,15.9,34.4,34.2,0.244,Conference USA,fbs,107
Illinois State,-8.89,0.0,18.21,,,,,,,MVFC,fcs,108
Ohio,-9.3,-8.9,5.1,522.84,-11.8,14.1,25.3,205.6,0.625,Mid-American,fbs,109
Tulsa,-9.32,-3.01,-0.82,622.84,-6.1,24.2,30.9,89.6,0.413,American Athletic,fbs,110
Hawai'i,-9.42,-6.9,2.98,556.82,-2.6,25.9,29.1,234.7,0.645,Mountain West,fbs,111
Georgia State,-9.69,-5.9,1.7,573.83,-29.3,14.8,43.4,131.7,0.465,Sun Belt,fbs,112
Alabama State,-10.13,0.0,16.96,,,,,,,SWAC,fcs,113
Middle Tennessee,-10.13,-6.03,1.4,571.5,-26.5,13.8,40.5,70.8,0.325,Conference USA,fbs,113
