year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2026,Ohio State,Big Ten,29.7,1.0,,,5.0,40.1,,,,,,,,,1.0,10.5,,,,,,,,,,0.0
2026,Georgia,SEC,28.2,2.0,,,2.0,40.7,,,,,,,,,3.0,13.0,,,,,,,,,,0.5
2026,Notre Dame,FBS Independents,26.7,3.0,,,4.0,40.2,,,,,,,,,6.0,13.7,,,,,,,,,,0.2
2026,Indiana,Big Ten,25.8,4.0,,,7.0,38.4,,,,,,,,,3.0,13.0,,,,,,,,,,0.4
2026,Oregon,Big Ten,24.4,5.0,,,6.0,39.7,,,,,,,,,12.0,15.5,,,,,,,,,,0.3
2026,Texas,SEC,24.1,6.0,,,8.0,37.9,,,,,,,,,8.0,14.2,,,,,,,,,,0.4
2026,Miami,ACC,23.2,7.0,,,9.0,36.8,,,,,,,,,7.0,13.9,,,,,,,,,,0.3
2026,USC,Big Ten,21.6,8.0,,,1.0,42.3,,,,,,,,,34.0,20.7,,,,,,,,,,-0.1
2026,LSU,SEC,20.3,9.0,,,25.0,33.3,,,,,,,,,5.0,13.2,,,,,,,,,,0.2
2026,Tennessee,SEC,20.2,10.0,,,3.0,40.6,,,,,,,,,34.0,20.7,,,,,,,,,,0.3
2026,Alabama,SEC,19.5,11.0,,,18.0,34.5,,,,,,,,,10.0,14.7,,,,,,,,,,-0.3
2026,Penn State,Big Ten,19.1,12.0,,,14.0,35.2,,,,,,,,,14.0,16.6,,,,,,,,,,0.5
2026,Texas Tech,Big 12,18.5,13.0,,,12.0,35.6,,,,,,,,,16.0,17.4,,,,,,,,,,0.2
2026,Texas A&M,SEC,18.3,14.0,,,10.0,36.4,,,,,,,,,19.0,17.9,,,,,,,,,,-0.2
2026,Florida,SEC,17.8,15.0,,,20.0,34.2,,,,,,,,,15.0,16.9,,,,,,,,,,0.5
2026,Oklahoma,SEC,17.6,16.0,,,47.0,30.1,,,,,,,,,2.0,12.8,,,,,,,,,,0.4
2026,BYU,Big 12,17.5,17.0,,,16.0,35.0,,,,,,,,,17.0,17.7,,,,,,,,,,0.3
2026,Iowa,Big Ten,17.3,18.0,,,37.0,31.4,,,,,,,,,9.0,14.6,,,,,,,,,,0.5
2026,Utah,Big 12,17.0,19.0,,,14.0,35.2,,,,,,,,,21.0,18.2,,,,,,,,,,0.1
2026,Ole Miss,SEC,15.6,20.0,,,11.0,36.3,,,,,,,,,39.0,21.3,,,,,,,,,,0.6
2026,Michigan,Big Ten,15.1,21.0,,,41.0,30.9,,,,,,,,,11.0,15.4,,,,,,,,,,-0.3
2026,Missouri,SEC,15.0,22.0,,,32.0,31.7,,,,,,,,,13.0,16.3,,,,,,,,,,-0.4
2026,Nebraska,Big Ten,14.5,23.0,,,24.0,33.5,,,,,,,,,24.0,19.0,,,,,,,,,,0.0
2026,Kansas State,Big 12,14.4,24.0,,,17.0,34.7,,,,,,,,,33.0,20.6,,,,,,,,,,0.3
2026,Louisville,ACC,13.3,25.0,,,18.0,34.5,,,,,,,,,40.0,21.4,,,,,,,,,,0.2
2026,South Carolina,SEC,13.0,26.0,,,32.0,31.7,,,,,,,,,25.0,19.3,,,,,,,,,,0.5
2026,Washington,Big Ten,12.8,27.0,,,43.0,30.7,,,,,,,,,17.0,17.7,,,,,,,,,,-0.3
2026,Virginia Tech,ACC,12.4,28.0,,,22.0,33.8,,,,,,,,,38.0,21.2,,,,,,,,,,-0.2
2026,SMU,ACC,12.0,29.0,,,21.0,33.9,,,,,,,,,41.0,21.5,,,,,,,,,,-0.4
2026,Mississippi State,SEC,12.0,29.0,,,13.0,35.4,,,,,,,,,56.0,23.9,,,,,,,,,,0.5
2026,Auburn,SEC,11.6,31.0,,,51.0,29.3,,,,,,,,,20.0,18.0,,,,,,,,,,0.3
2026,TCU,Big 12,11.2,32.0,,,37.0,31.4,,,,,,,,,30.0,20.1,,,,,,,,,,-0.2
2026,Illinois,Big Ten,11.1,33.0,,,23.0,33.7,,,,,,,,,52.0,23.0,,,,,,,,,,0.4
2026,Houston,Big 12,10.8,34.0,,,25.0,33.3,,,,,,,,,47.0,22.3,,,,,,,,,,-0.3
2026,North Dakota State,Mountain West,10.6,35.0,,,49.0,30.0,,,,,,,,,26.0,19.5,,,,,,,,,,0.1
2026,Virginia,ACC,10.5,36.0,,,51.0,29.3,,,,,,,,,23.0,18.9,,,,,,,,,,0.2
2026,Pittsburgh,ACC,10.4,37.0,,,40.0,31.0,,,,,,,,,34.0,20.7,,,,,,,,,,0.1
2026,Arizona,Big 12,9.8,38.0,,,32.0,31.7,,,,,,,,,42.0,21.6,,,,,,,,,,-0.4
2026,Vanderbilt,SEC,9.7,39.0,,,28.0,33.2,,,,,,,,,57.0,24.0,,,,,,,,,,0.5
2026,UCLA,Big Ten,9.0,40.0,,,29.0,32.6,,,,,,,,,53.0,23.6,,,,,,,,,,0.0
2026,Oklahoma State,Big 12,8.7,41.0,,,45.0,30.5,,,,,,,,,47.0,22.3,,,,,,,,,,0.4
2026,Cincinnati,Big 12,8.0,42.0,,,30.0,32.3,,,,,,,,,62.0,24.6,,,,,,,,,,0.3
2026,Maryland,Big Ten,7.9,43.0,,,50.0,29.6,,,,,,,,,45.0,21.9,,,,,,,,,,0.2
2026,Northwestern,Big Ten,7.7,44.0,,,63.0,27.1,,,,,,,,,28.0,19.9,,,,,,,,,,0.4
2026,Clemson,ACC,7.1,45.0,,,72.0,26.4,,,,,,,,,27.0,19.6,,,,,,,,,,0.3
2026,Duke,ACC,7.0,46.0,,,31.0,31.9,,,,,,,,,64.0,25.2,,,,,,,,,,0.3
2026,Boise State,Pac-12,6.9,47.0,,,39.0,31.2,,,,,,,,,59.0,24.1,,,,,,,,,,-0.2
2026,Baylor,Big 12,6.8,48.0,,,32.0,31.7,,,,,,,,,66.0,25.4,,,,,,,,,,0.6
2026,Kentucky,SEC,6.5,49.0,,,57.0,28.2,,,,,,,,,43.0,21.7,,,,,,,,,,0.0
2026,James Madison,Sun Belt,6.2,50.0,,,55.0,28.8,,,,,,,,,47.0,22.3,,,,,,,,,,-0.2
2026,Minnesota,Big Ten,5.9,51.0,,,69.0,26.5,,,,,,,,,31.0,20.2,,,,,,,,,,-0.4
2026,Iowa State,Big 12,5.8,52.0,,,80.0,25.4,,,,,,,,,28.0,19.9,,,,,,,,,,0.4
2026,UCF,Big 12,5.5,53.0,,,77.0,25.9,,,,,,,,,32.0,20.4,,,,,,,,,,-0.1
2026,Florida State,ACC,5.5,53.0,,,46.0,30.2,,,,,,,,,60.0,24.5,,,,,,,,,,-0.2
2026,Arizona State,Big 12,5.3,55.0,,,60.0,27.5,,,,,,,,,43.0,21.7,,,,,,,,,,-0.5
2026,Wisconsin,Big Ten,5.1,56.0,,,90.0,23.4,,,,,,,,,21.0,18.2,,,,,,,,,,-0.2
2026,NC State,ACC,5.0,57.0,,,41.0,30.9,,,,,,,,,69.0,25.6,,,,,,,,,,-0.3
2026,New Mexico,Mountain West,4.8,58.0,,,66.0,26.7,,,,,,,,,50.0,22.4,,,,,,,,,,0.5
2026,North Carolina,ACC,4.5,59.0,,,83.0,25.0,,,,,,,,,37.0,20.8,,,,,,,,,,0.3
2026,Georgia Tech,ACC,4.4,60.0,,,58.0,27.9,,,,,,,,,57.0,24.0,,,,,,,,,,0.4
2026,West Virginia,Big 12,3.8,61.0,,,53.0,29.2,,,,,,,,,67.0,25.5,,,,,,,,,,0.1
2026,Memphis,American Athletic,3.7,62.0,,,25.0,33.3,,,,,,,,,94.0,29.8,,,,,,,,,,0.2
2026,Wake Forest,ACC,3.6,63.0,,,72.0,26.4,,,,,,,,,51.0,22.8,,,,,,,,,,0.0
2026,Kansas,Big 12,3.0,64.0,,,61.0,27.4,,,,,,,,,63.0,24.8,,,,,,,,,,0.4
2026,Michigan State,Big Ten,2.3,65.0,,,63.0,27.1,,,,,,,,,60.0,24.5,,,,,,,,,,-0.3
2026,South Florida,American Athletic,1.9,66.0,,,47.0,30.1,,,,,,,,,83.0,28.1,,,,,,,,,,-0.1
2026,California,ACC,0.8,67.0,,,59.0,27.6,,,,,,,,,74.0,26.5,,,,,,,,,,-0.3
2026,Army,American Athletic,0.2,68.0,,,69.0,26.5,,,,,,,,,73.0,26.3,,,,,,,,,,0.1
2026,Syracuse,ACC,-0.2,69.0,,,90.0,23.4,,,,,,,,,55.0,23.8,,,,,,,,,,0.3
2026,Arkansas,SEC,-0.3,70.0,,,44.0,30.6,,,,,,,,,105.0,31.1,,,,,,,,,,0.3
2026,Fresno State,Pac-12,-0.4,71.0,,,104.0,21.5,,,,,,,,,46.0,22.0,,,,,,,,,,0.0
2026,Colorado,Big 12,-1.2,72.0,,,84.0,24.9,,,,,,,,,72.0,25.7,,,,,,,,,,-0.4
2026,Tulsa,American Athletic,-1.2,72.0,,,82.0,25.2,,,,,,,,,75.0,26.8,,,,,,,,,,0.4
2026,UTSA,American Athletic,-1.4,74.0,,,56.0,28.7,,,,,,,,,99.0,30.2,,,,,,,,,,0.1
2026,Purdue,Big Ten,-2.1,75.0,,,61.0,27.4,,,,,,,,,97.0,30.0,,,,,,,,,,0.5
2026,Navy,American Athletic,-2.3,76.0,,,66.0,26.7,,,,,,,,,89.0,29.1,,,,,,,,,,0.2
2026,Rutgers,Big Ten,-2.4,77.0,,,54.0,29.1,,,,,,,,,106.0,31.6,,,,,,,,,,0.1
2026,San Diego State,Pac-12,-2.5,78.0,,,98.0,22.4,,,,,,,,,67.0,25.5,,,,,,,,,,0.6
2026,Oregon State,Pac-12,-2.5,78.0,,,88.0,23.8,,,,,,,,,69.0,25.6,,,,,,,,,,-0.6
2026,Western Michigan,Mid-American,-2.6,80.0,,,105.0,21.2,,,,,,,,,53.0,23.6,,,,,,,,,,-0.3
2026,Air Force,Mountain West,-2.8,81.0,,,80.0,25.4,,,,,,,,,85.0,28.3,,,,,,,,,,0.1
2026,Liberty,Conference USA,-3.0,82.0,,,76.0,26.1,,,,,,,,,88.0,28.9,,,,,,,,,,-0.2
2026,Jacksonville State,Conference USA,-3.2,83.0,,,65.0,26.9,,,,,,,,,92.0,29.7,,,,,,,,,,-0.3
2026,UNLV,Mountain West,-3.3,84.0,,,69.0,26.5,,,,,,,,,94.0,29.8,,,,,,,,,,0.0
2026,Boston College,ACC,-4.9,85.0,,,95.0,22.8,,,,,,,,,81.0,28.0,,,,,,,,,,0.3
2026,UConn,FBS Independents,-5.2,86.0,,,87.0,24.1,,,,,,,,,94.0,29.8,,,,,,,,,,0.5
2026,Toledo,Mid-American,-5.4,87.0,,,101.0,21.9,,,,,,,,,76.0,26.9,,,,,,,,,,-0.4
2026,East Carolina,American Athletic,-5.6,88.0,,,100.0,22.1,,,,,,,,,78.0,27.5,,,,,,,,,,-0.1
2026,Tulane,American Athletic,-5.6,88.0,,,103.0,21.6,,,,,,,,,79.0,27.6,,,,,,,,,,0.5
2026,Washington State,Pac-12,-5.6,88.0,,,112.0,19.8,,,,,,,,,65.0,25.3,,,,,,,,,,-0.2
2026,Texas State,Pac-12,-5.9,91.0,,,32.0,31.7,,,,,,,,,133.0,37.7,,,,,,,,,,0.0
2026,Miami (OH),Mid-American,-6.0,92.0,,,106.0,21.0,,,,,,,,,77.0,27.4,,,,,,,,,,0.4
2026,Troy,Sun Belt,-6.2,93.0,,,97.0,22.5,,,,,,,,,87.0,28.8,,,,,,,,,,0.2
2026,App State,Sun Belt,-6.3,94.0,,,90.0,23.4,,,,,,,,,98.0,30.1,,,,,,,,,,0.3
2026,Temple,American Athletic,-6.5,95.0,,,68.0,26.6,,,,,,,,,114.0,33.5,,,,,,,,,,0.3
2026,Colorado State,Pac-12,-6.6,96.0,,,102.0,21.7,,,,,,,,,84.0,28.2,,,,,,,,,,-0.1
2026,Old Dominion,Sun Belt,-7.0,97.0,,,115.0,19.1,,,,,,,,,69.0,25.6,,,,,,,,,,-0.5
2026,Hawai'i,Mountain West,-7.1,98.0,,,93.0,23.1,,,,,,,,,102.0,30.7,,,,,,,,,,0.5
2026,Louisiana,Sun Belt,-7.2,99.0,,,79.0,25.5,,,,,,,,,110.0,32.3,,,,,,,,,,-0.4
