season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2026,Vanderbilt,SEC,203.3,17.8,126.2,59.3,0.354,0.087,0.501,0.501,0.326,0.061,0.449,0.501
2026,Virginia,ACC,34.9,1.2,14.3,19.3,0.095,0.011,0.087,0.21,0.136,0.004,0.205,0.205
2026,Virginia Tech,ACC,94.3,0.0,67.9,26.4,0.367,0.0,0.541,0.308,0.277,0.0,0.583,0.32
2026,Wake Forest,ACC,44.1,21.1,20.0,3.0,0.142,0.229,0.131,0.046,0.121,0.012,0.276,0.102
2026,Washington,Big Ten,228.1,102.1,68.6,57.4,0.544,0.942,0.342,0.519,0.571,0.943,0.38,0.355
2026,Washington State,Pac-12,228.3,78.7,120.8,28.8,0.913,1.0,0.847,1.0,0.975,1.0,0.917,1.0
2026,Western Kentucky,Conference USA,312.2,99.1,185.2,27.9,0.837,0.951,0.848,0.547,0.784,0.994,0.78,0.493
2026,Western Michigan,Mid-American,155.5,27.1,83.3,45.2,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026,West Virginia,Big 12,21.1,11.1,10.6,-0.7,0.14,0.624,0.094,-0.035,0.262,0.546,0.056,0.153
2026,Wisconsin,Big Ten,29.8,-2.0,24.6,7.1,0.31,-5.0,0.337,0.318,0.468,0.519,0.227,0.576
2026,Wyoming,Mountain West,36.8,1.1,21.8,13.8,0.23,0.032,0.201,0.807,0.281,0.124,0.355,0.387
